page,word,pos,word_url,video_url,mp4_path,mp4_bytes,status
1,China,Noun,https://spreadthesign.com/en.gb/word/6350/china/0/?q=China,,,0,no_video
1,Christmas,Noun,https://spreadthesign.com/en.gb/word/4030/christmas/0/?q=Christmas,https://media.spreadthesign.com/video/mp4/1/50463.mp4,sts_media/4030_christmas.mp4,314242,ok
1,city,Noun,https://spreadthesign.com/en.gb/word/3895/city/0/?q=city,https://media.spreadthesign.com/video/mp4/1/51038.mp4,sts_media/3895_city.mp4,346186,ok
1,clean,Adjective,https://spreadthesign.com/en.gb/word/809/clean/0/?q=clean,https://media.spreadthesign.com/video/mp4/1/8106.mp4,sts_media/809_clean.mp4,108169,ok
1,competition,Noun,https://spreadthesign.com/en.gb/word/2859/competition/0/?q=competition,https://media.spreadthesign.com/video/mp4/1/160598.mp4,sts_media/2859_competition.mp4,110745,ok
1,computer,Noun,https://spreadthesign.com/en.gb/word/1391/computer/0/?q=computer,https://media.spreadthesign.com/video/mp4/1/568316.mp4,sts_media/1391_computer.mp4,52918,ok
2,cooker,Noun,https://spreadthesign.com/en.gb/word/1198/cooker/0/?q=cooker,https://media.spreadthesign.com/video/mp4/1/585095.mp4,sts_media/1198_cooker.mp4,45848,ok
2,country,Noun,https://spreadthesign.com/en.gb/word/626/country/0/?q=country,https://media.spreadthesign.com/video/mp4/1/6201.mp4,sts_media/626_country.mp4,100872,ok
2,cousin,Noun,https://spreadthesign.com/en.gb/word/1445/cousin/0/?q=cousin,https://media.spreadthesign.com/video/mp4/1/14324.mp4,sts_media/1445_cousin.mp4,88871,ok
2,crazy,Adjective,https://spreadthesign.com/en.gb/word/8174/crazy/0/?q=crazy,https://media.spreadthesign.com/video/mp4/1/86317.mp4,sts_media/8174_crazy.mp4,95485,ok
2,cry,Verb,https://spreadthesign.com/en.gb/word/1904/cry/0/?q=cry,https://media.spreadthesign.com/video/mp4/1/18927.mp4,sts_media/1904_cry.mp4,202716,ok
2,damn,Verb,https://spreadthesign.com/en.gb/word/9160/damn/0/?q=damn,https://media.spreadthesign.com/video/mp4/1/283430.mp4,sts_media/9160_damn.mp4,95684,ok
2,dance,Verb,https://spreadthesign.com/en.gb/word/7877/dance/0/?q=dance,https://media.spreadthesign.com/video/mp4/1/87819.mp4,sts_media/7877_dance.mp4,120556,ok
2,dark,Adjective,https://spreadthesign.com/en.gb/word/554/dark/0/?q=dark,https://media.spreadthesign.com/video/mp4/1/5478.mp4,sts_media/554_dark.mp4,159814,ok
2,darkness,Noun,https://spreadthesign.com/en.gb/word/10363/darkness/0/?q=darkness,https://media.spreadthesign.com/video/mp4/1/295432.mp4,sts_media/10363_darkness.mp4,91095,ok
2,deaf,Adjective,https://spreadthesign.com/en.gb/word/412/deaf/0/?q=deaf,https://media.spreadthesign.com/video/mp4/1/270653.mp4,sts_media/412_deaf.mp4,70536,ok
2,deaflympics,Noun,https://spreadthesign.com/en.gb/word/7884/deaflympics/0/?q=deaflympics,https://media.spreadthesign.com/video/mp4/1/87828.mp4,sts_media/7884_deaflympics.mp4,154285,ok
2,deafness,Noun,https://spreadthesign.com/en.gb/word/7959/deafness/0/?q=deafness,https://media.spreadthesign.com/video/mp4/1/87829.mp4,sts_media/7959_deafness.mp4,126619,ok
2,Denmark,Noun,https://spreadthesign.com/en.gb/word/1581/denmark/0/?q=Denmark,https://media.spreadthesign.com/video/mp4/1/15704.mp4,sts_media/1581_denmark.mp4,80827,ok
2,desk,Noun,https://spreadthesign.com/en.gb/word/9219/desk/0/?q=desk,https://media.spreadthesign.com/video/mp4/1/283464.mp4,sts_media/9219_desk.mp4,74324,ok
2,dinosaur,Noun,https://spreadthesign.com/en.gb/word/7905/dinosaur/0/?q=dinosaur,https://media.spreadthesign.com/video/mp4/1/289666.mp4,sts_media/7905_dinosaur.mp4,134543,ok
2,discotheque,Noun,https://spreadthesign.com/en.gb/word/3897/discotheque/0/?q=discotheque,https://media.spreadthesign.com/video/mp4/1/50482.mp4,sts_media/3897_discotheque.mp4,320495,ok
